table_name,column_name,definition,formula,unit,data_type,source_note,reference_framework
operation_metrics,revpar,Revenue per available room for hotel assets,ADR multiplied by occupancy rate,Currency units,simulated,Demo value for portfolio prototype; not official disclosed data.,UN Tourism accommodation statistics
operation_metrics,average_spending_per_visitor,Average visitor spending for scenic or resort assets,Revenue / visitor volume,Currency units per visitor,simulated,Demo value for portfolio prototype; not official disclosed data.,UN Tourism accommodation statistics
operation_metrics,secondary_spending_ratio,Share of revenue from non-ticket or ancillary spending,Secondary spending revenue / total revenue,Ratio,simulated,Demo value for portfolio prototype; not official disclosed data.,Smart tourism attraction construction or management guidelines
operation_metrics,peak_season_revenue_ratio,Revenue concentration in peak season,Peak season revenue / annual revenue,Ratio,simulated,Demo value for portfolio prototype; not official disclosed data.,ISO 31000 risk management
service_quality_metrics,ota_score,Average online travel agency or review-platform score,Weighted average platform score,Score 0-5,simulated,Demo value for portfolio prototype; not official disclosed data.,SERVQUAL
service_quality_metrics,review_count,Number of online reviews observed,Count of reviews,Reviews,simulated,Demo value for portfolio prototype; not official disclosed data.,SERVQUAL
service_quality_metrics,tangibles_score,Survey score for service tangibles,Average survey item score,Score 0-5,simulated,Demo value for portfolio prototype; not official disclosed data.,SERVQUAL
service_quality_metrics,reliability_score,Survey score for service reliability,Average survey item score,Score 0-5,simulated,Demo value for portfolio prototype; not official disclosed data.,SERVQUAL
service_quality_metrics,responsiveness_score,Survey score for responsiveness,Average survey item score,Score 0-5,simulated,Demo value for portfolio prototype; not official disclosed data.,SERVQUAL
service_quality_metrics,assurance_score,Survey score for assurance,Average survey item score,Score 0-5,simulated,Demo value for portfolio prototype; not official disclosed data.,SERVQUAL
service_quality_metrics,empathy_score,Survey score for empathy,Average survey item score,Score 0-5,simulated,Demo value for portfolio prototype; not official disclosed data.,SERVQUAL
service_quality_metrics,complaint_rate,Material complaints per visitor or guest unit,Complaints / visitor or guest volume,Ratio,simulated,Demo value for portfolio prototype; not official disclosed data.,HOLSERV
risk_metrics,seasonality_risk,Risk score for seasonal revenue concentration,Manual or model score,Score 0-1,simulated,Demo value for portfolio prototype; not official disclosed data.,ISO 31000 risk management
risk_metrics,market_competition_risk,Risk score for competitive pressure,Manual or model score,Score 0-1,simulated,Demo value for portfolio prototype; not official disclosed data.,COSO ERM
risk_metrics,policy_risk,Risk score for policy and regulatory exposure,Manual or model score,Score 0-1,simulated,Demo value for portfolio prototype; not official disclosed data.,COSO ERM
risk_metrics,climate_physical_risk,Risk score for climate-related physical exposure,Manual or model score,Score 0-1,simulated,Demo value for portfolio prototype; not official disclosed data.,TCFD recommendations
risk_metrics,financial_pressure_risk,Risk score for debt and liquidity pressure,Manual or model score,Score 0-1,simulated,Demo value for portfolio prototype; not official disclosed data.,INREV Performance Measurement Guidelines
risk_metrics,platform_dependency_risk,Risk score for dependence on online platforms or channels,Manual or model score,Score 0-1,simulated,Demo value for portfolio prototype; not official disclosed data.,ISO 31000 risk management
risk_metrics,risk_disclosure_score,Quality score for risk disclosure completeness,Manual review score,Score 0-100,simulated,Demo value for portfolio prototype; not official disclosed data.,IFRS S2 climate-related disclosures
digital_maturity_metrics,data_availability_score,Score for availability of data required by the model,Manual maturity score,Score 0-100,simulated,Demo value for portfolio prototype; not official disclosed data.,GB/T 36073 DCMM data management capability maturity model
digital_maturity_metrics,data_quality_score,Score for data quality controls and consistency,Manual maturity score,Score 0-100,simulated,Demo value for portfolio prototype; not official disclosed data.,GB/T 36073 DCMM data management capability maturity model
digital_maturity_metrics,smart_operation_score,Score for smart operation capability,Manual maturity score,Score 0-100,simulated,Demo value for portfolio prototype; not official disclosed data.,Smart tourism attraction construction or management guidelines
digital_maturity_metrics,online_reservation_score,Score for online reservation capability,Manual maturity score,Score 0-100,simulated,Demo value for portfolio prototype; not official disclosed data.,Smart tourism attraction construction or management guidelines
digital_maturity_metrics,visitor_flow_monitoring_score,Score for visitor-flow or occupancy monitoring capability,Manual maturity score,Score 0-100,simulated,Demo value for portfolio prototype; not official disclosed data.,Smart tourism attraction construction or management guidelines
digital_maturity_metrics,public_opinion_monitoring_score,Score for online review and public-opinion monitoring,Manual maturity score,Score 0-100,simulated,Demo value for portfolio prototype; not official disclosed data.,Smart tourism attraction construction or management guidelines
digital_maturity_metrics,dashboard_monitoring_score,Score for management dashboard monitoring capability,Manual maturity score,Score 0-100,simulated,Demo value for portfolio prototype; not official disclosed data.,GB/T 36073 DCMM data management capability maturity model
all_tables,data_type,Classification of the data source such as public_disclosure public_collected survey simulated manual_assessment or mixed,Manual classification,Text,mixed,Demo value for portfolio prototype; not official disclosed data.,Internal data governance convention
all_tables,source_note,Plain-language note describing source status and limitations,Manual note,Text,mixed,Demo value for portfolio prototype; not official disclosed data.,Internal data governance convention
